n   r  total_calls  O(calls)  time(microseconds)
75258 388 29162022 14581590 3450414
75421 389 40054306 25267870 3275486
75955 390 40785957 25924783 3117686
76508 391 29855818 14927909 2946788
76316 392 29887006 14943503 2881578
76983 393 30324166 15162083 2928775
77711 394 42053087 26626523 3200298
78181 395 42256418 26711942 3285523
78184 396 42175374 26607808 3742770
78816 397 31344619 15672705 3020210
78882 398 31368562 15684281 3013333
80053 399 43164958 27088031 4206513
79848 400 31995142 15997571 4192669
80507 401 32390676 16195338 3218253
80595 402 44038649 27722610 3405251
80851 403 32581460 16290730 3270168
81784 404 45681553 29089584 3641754
81887 405 44655960 27978793 3432843
82129 406 46024743 29272324 4411641
83049 407 46261135 29239129 3793292
82910 408 46564253 29570877 3434852
83749 409 34250784 17129571 3459361
84339 410 47765720 30378953 4409749
84508 411 47551065 30090904 4335656
84773 412 47886872 30367856 3786256
85326 413 47817820 30087293 3572278
86044 414 35587382 17793691 3397593
86097 415 48664878 30738362 3698684
86814 416 49343048 31207824 4017645
86811 417 36150873 18076059 3563512
86976 418 49658112 31374302 3935873
87591 419 50163725 31676923 3849894
88207 420 37073578 18536789 3765934
88641 421 51438143 32671862 3932742
88662 422 51473096 32618923 4503680
89040 423 37670445 18837516 4373318
89762 424 52347945 33189153 4863306
90500 425 52710444 33359954 4533466
91083 426 53071573 33570485 4891629
91171 427 53632972 34058508 4803602
91766 428 39272623 19638215 3577661
92249 429 54850303 34893242 4250210
92550 430 54800439 34795845 3800170
92565 431 54648384 34588934 3714340
93816 432 74337100 53891190 4197213
93981 433 40676126 20338063 3705946
94002 434 40713764 20356882 3551473
94823 435 41267008 20633504 3753903
95334 436 57304577 36401725 4101275
95680 437 77089753 55965071 4466724
96122 438 57781710 36585927 3976637
96052 439 42232206 21116103 3637364
97072 440 58851045 37399530 4029387
97644 441 78740662 57024612 4797318
97721 442 43125220 21599075 4228526
97949 443 60493237 38651468 4150404
98367 444 79702247 57623794 4530770
99191 445 60762458 38579183 4226575
99845 446 44560552 22286108 4139651
99691 447 60823969 38412077 4139399
100279 448 61291877 38729852 4174712
100394 449 62330782 39673532 4338781
101162 450 62596800 39679469 4157494
101684 451 62577977 39499958 4691554
102388 452 63303857 40093250 4466487
102862 453 64045614 40612366 4251010
103140 454 64068715 40565914 4294135
103716 455 47243856 23621928 3898889
103532 456 47130102 23565051 4512512
104208 457 47563866 23781933 4049959
104645 458 65697194 41639078 4566689
105347 459 48462052 24232166 4341502
106107 460 48849556 24424778 4022531
106735 461 49236440 24618220 4174852
106760 462 49309688 24654844 4283952
107748 463 90666948 65446719 5148305
107776 464 50061820 25030910 4166849
108164 465 50344208 25173946 4292151
108712 466 50602040 25301020 4471617
109155 467 51013384 25506692 4741262
109195 468 70089195 44476318 4651375
109889 469 71000618 45118003 4782111
110200 470 70032903 44007742 4607730
111304 471 72875795 46536709 4787205
111434 472 72527605 46061097 5025433
111473 473 71877306 45370831 4765546
112408 474 72642925 45785027 4833623
112828 475 73840999 46869740 5054039
113248 476 53905072 26952536 4603812
113632 477 75054238 47793901 5089860
114286 478 75355928 47907954 4952395
114594 479 75611416 47994763 4973022
114844 480 76467639 48800151 5111204
116062 481 55691674 27845837 4876513
115795 482 55684998 27842499 5261867
116869 483 56378164 28189082 4698558
116905 484 105988466 77353832 5763679
117484 485 79007657 50386983 5138006
118133 486 57332084 28666042 4809581
118462 487 79051333 50129697 5451147
119334 488 58239346 29119673 4920073
119634 489 80444444 51057836 5337416
120361 490 58895492 29447746 4920451
120568 491 59252418 29626209 5030152
120936 492 82551379 52619530 5638715
121776 493 82216322 52066901 5505424
122015 494 60359822 30179911 4953317
122476 495 84068052 53630475 5512337
122892 496 60901238 30450619 5060539
123768 497 82877289 51934328 5581612
124139 498 113892637 82670781 7075785
124690 499 85990295 54679398 5690796
124862 500 85180814 53788758 5837152
